Transaction_ID,Customer,Country,Category,Quantity,Value,Weight,Customs_Code,Payment_Terms,Date,Country_Origine
TX001,Samsung,USA,Electronics,12,145000,420,8471.30,NET30,2024-01-05,South Korea
TX002,Ikea,Germany,Furniture,25,87000,780,9403.10,NET60,2024-01-06,Sweden
TX003,Zara,France,Clothing,8,210000,290,6204.20,NET30,2024-01-07,Spain
TX004,Nestle,Brazil,Food,30,62000,950,2106.90,NET90,2024-01-08,Switzerland
TX005,Caterpillar,Japan,Machinery,5,580000,6200,8429.00,NET60,2024-01-09,USA
TX006,Toyota,Morocco,Machinery,18,195000,1100,8703.10,NET30,2024-01-10,Japan
TX007,LVMH,France,Clothing,6,430000,180,6204.20,NET30,2024-01-11,France
TX008,Carrefour,India,Food,22,54000,820,2106.90,NET90,2024-01-12,France
TX009,Dell,Kenya,Pharmaceuticals,9,98000,310,3004.90,NET30,2024-01-13,USA
TX010,Bosch,Germany,Machinery,14,167000,870,8429.00,NET60,2024-01-14,Germany
TX011,Samsung,India,Electronics,20,88000,510,8471.30,NET30,2024-01-15,South Korea
TX012,Ikea,Brazil,Furniture,3,12000,140,9403.10,NET60,2024-01-16,Sweden
TX013,NewImporter_A,Chile,Weapons,7,120000,450,9301.00,CASH,2024-01-17,Russia
TX014,Nestle,USA,Food,28,71000,890,2106.90,NET90,2024-01-18,Switzerland
TX015,Toyota,Japan,Machinery,11,220000,1350,8703.10,NET60,2024-01-19,Japan
TX016,Samsung,Germany,Electronics,15,132000,380,8471.30,NET30,2024-01-20,South Korea
TX017,Zara,Morocco,Clothing,10,95000,320,6204.20,NET30,2024-01-21,Spain
TX018,Bosch,USA,Machinery,9,178000,760,8429.00,NET60,2024-01-22,Germany
TX019,Carrefour,France,Food,35,82000,1100,2106.90,NET90,2024-01-23,France
TX020,Dell,Germany,Electronics,18,156000,490,8471.30,NET30,2024-01-24,USA
TX021,LVMH,Japan,Clothing,4,380000,150,6204.20,NET30,2024-01-25,France
TX022,Ikea,Morocco,Furniture,20,74000,650,9403.10,NET60,2024-01-26,Sweden
TX023,Nestle,Germany,Food,26,68000,840,2106.90,NET90,2024-01-27,Switzerland
TX024,Samsung,France,Electronics,13,118000,350,8471.30,NET30,2024-01-28,South Korea
TX025,NewImporter_B,North Korea,Electronics,50,5000,200,8471.30,CASH,2024-01-29,China
TX026,Toyota,India,Machinery,16,205000,1200,8703.10,NET60,2024-01-30,Japan
TX027,Zara,Brazil,Clothing,9,88000,280,6204.20,NET30,2024-01-31,Spain
TX028,Bosch,Morocco,Machinery,12,155000,820,8429.00,NET60,2024-02-01,Germany
TX029,Carrefour,Brazil,Food,40,91000,1250,2106.90,NET90,2024-02-02,France
TX030,Dell,Japan,Electronics,17,148000,440,8471.30,NET30,2024-02-03,USA
TX031,Ikea,India,Furniture,22,79000,700,9403.10,NET60,2024-02-04,Sweden
TX032,LVMH,USA,Clothing,5,410000,165,6204.20,NET30,2024-02-05,France
TX033,Nestle,Japan,Food,24,65000,800,2106.90,NET90,2024-02-06,Switzerland
TX034,Samsung,Brazil,Electronics,11,127000,370,8471.30,NET30,2024-02-07,South Korea
TX035,FraudCo,Iran,Chemicals,100,500,50,2901.90,CASH,2024-02-08,Unknown
TX036,Toyota,France,Machinery,14,198000,1050,8703.10,NET60,2024-02-09,Japan
TX037,Zara,India,Clothing,12,102000,340,6204.20,NET30,2024-02-10,Spain
TX038,Bosch,Japan,Machinery,10,162000,790,8429.00,NET60,2024-02-11,Germany
TX039,Carrefour,Morocco,Food,32,77000,980,2106.90,NET90,2024-02-12,France
TX040,Dell,Brazil,Electronics,16,141000,420,8471.30,NET30,2024-02-13,USA
TX041,Ikea,France,Furniture,19,81000,630,9403.10,NET60,2024-02-14,Sweden
TX042,Samsung,Morocco,Electronics,14,135000,400,8471.30,NET30,2024-02-15,South Korea
TX043,Nestle,India,Food,27,70000,870,2106.90,NET90,2024-02-16,Switzerland
TX044,Toyota,Germany,Machinery,13,192000,980,8703.10,NET60,2024-02-17,Japan
TX045,LVMH,Morocco,Clothing,3,395000,140,6204.20,NET30,2024-02-18,France
TX046,GhostTrader,Syria,Weapons,200,100,30,9301.00,CASH,2024-02-19,Unknown
TX047,Bosch,France,Machinery,11,158000,810,8429.00,NET60,2024-02-20,Germany
TX048,Carrefour,Japan,Food,29,74000,910,2106.90,NET90,2024-02-21,France
TX049,Dell,India,Electronics,19,153000,460,8471.30,NET30,2024-02-22,USA
TX050,Zara,Germany,Clothing,11,99000,310,6204.20,NET30,2024-02-23,Spain
